name,item_description
Pokemon Pearl DS,Tested and works properly!
Mega Man Zero Collection for Nintendo DS,"I am selling my entire Game collection, so please check back over the next month to see all the games I have listed. My collection is over 2000 games and systems so please check back. This listing is for a used original of Mega Man zero Collection for Nintendo DS. You will get exactly what you see in the pictures. The game cartridge may have some minor scratches, indents, wear, or slight fading. There may be dirt/dust in crevasses and edges of the cartridge. Please check pictures for exact condition and ask if you are unsure. The game works without any issues. Assume that any DLC codes have been used. Generally speaking if you are buying multiple items I will take off [rm] for each extra item that you purchase. I can not do discounts for purchases under [rm]."
Super Mario bros,"Only played once, perfect condition. A fun family classic!"
Nintendo 3DS Aqua blue,"Nintendo 3DS in Aqua blue in amazing condition! Played maybe 10 times. Comes with 3DS games (super smash bros, the legend of Zelda Ocarnia of time, adventure time, and Skylanders giants) Skylanders giants does not have portal or characters. Also comes with pink skull case and charger. Has been reset to default, and has an SD card."
Borderlands The Handsome Collection,Great game. Got enough games to beat.
Dishonored Definitive Edition,Brand new never opened
Star Wars game reserved for jazmin,Star Wars republic commando game for xbox. Ps2 PlayStation Xbox star fighter republic command episode 3 force unleashed knights old republic clone wars
Boxed Pokemon emerald & Pokemon sapphire,Pokemon emerald is boxed. It is missing the manual and has wear to the frint portion of the label. Sapphire has wear on the front of the label as well. Both carts are authentic and save. Both carts also have a brand new battery installed. Fast Free Shipping. Bundle and save on other items in my closet.
3 Month Xbox Live Membership,Will send code over message.
Sky rim special edition ps4 Xbox one,3 ps4 3 Xbox one
PS4 Division,Played once
Wii u game,Hurdle warriors
Mass Effect 2,Trying to get rid of all my video games. No use for them now.
PSP,"Bought off someone else. Does work! Has a scratched up screen and its missing the top of the joy stick but still works,"
Gameboy,"Comes with 2 games, still use , but lost the charger ( putting on hold for lady gamer)"
Forza Horizon 2 Xbox One,No description yet
Gamecube cords reserved,No description yet
Super Mario 3D World Wii U,"Gently used copy, wonderful game I hope you enjoy it! Please feel free to follow me and ask me any questions!"
For mvpmike24,PS4 MLB the show 2016
Zelda Majoras Mask for Nintendo 64,This listing is for a used original of The Legend of Zelda Majoras Mask for Nintendo 64. You will get exactly what you see in the pictures. All games are in working condition unless stated otherwise. Assume that any DLC codes have been used.
Mario kart ds,Mario kart DS game
PS3 Game Bundle,"The CD are in great condition, no scratches appear on the back Selling Reason: Don't own a PS3 anymore **ON HOLD**"
TMNT Danger of the ooze PS3,TMNT danger of the ooze PS3 like new
Mario Blue Wii U Gamepad Cover Case,This protective case goes over the top of your game pad and protects it while it is not in use. As you can see in the close up there are some scratches on the white part. Overall good condition as none of the clips are broken.
Zelda Ocarina of Time & Banjoo Kazooie,Zelda Ocarina of Time [rm] Banjoo Kazooie [rm] tested
Daytona USA,Disc lightly scratched but works great. Comes with case and disc but NO MANUAL .
PS4,"500 GB. Barely used, factory restored, a few scratches on top but nothing major. It comes with two controllers & all cords and chargers (hdmi, power supply, & controller charger). The price is firm!"
Metroid Prime And Bonus Disc,Selling my Metroid Prime combo pack It's in great condition and is complete as well Includes both games shown in cover as well Really great for people who are in love of the series or are collectors Highly recommended
N64 Star Wars Rogue Squadron,Game only. Shows some wear from use. Has initials written in what appears to be nail polish on the back. Works perfectly.
Pokemon Pearl And Diamond,Both items are in good condition and at a very good price.
Zelda Ocarina Of Time N64,"Nintendo 64 Classic! Game has been tested and is in good condition. Please check out our store to find more NES, SNES, GameCube, Wii, Sega PlayStation and much more! The more you buy the more you save! Let's bundle!"
Super Nintendo Mario games lots,2 games
Quake 2 Nintendo 64,Good Condition! Cart Only. FAST SHIPPING! Reputation and Customer Satisfaction is Important to Us.
COD Black Ops 2,The game we all love and remember. Check out my listings for other [rm] dollar games!
Madden 17,No description yet
Mortal kombat 2 game gear sega,Tested and working Tags; Nintendo sega Xbox PlayStation snes nes
RADIATA STORIES,Amazing condition! (CIB) Complete In Box This item will be shipped securely from a smoke and pet free home.
Pokemon leafgreen leaf green version,Leafgreen new
Super smash Wii U,No description yet
102 Dalmatians for Gameboy Color rare,Ships free!!!!
Ultimate SuperStick (NES),"I have owned this for 6 years. It is awesome and retro! Love the gray, red, black, and yellow colors. Hope you like it!"
Rampage World Tour Nintendo 64,Great game loved it growing up
Super Mario galaxy for Nintendo Wii,"Great condition, complete, comes with book and case is in good condition, game tested and works Super Mario, Mario, galaxy, we, the tendo, Nintendo selects, game, video game, gamers, Nintendo Wii"
Game Boy Color Vintage Game Puzzles,Works fine! Smoke free home.
Kingdom Hearts 3DS Dream Drop Distance,Adult Owned. Great Condition. Box not included Firm Price..
Xbox 360 guitar hero,Guitar hero 3 with guitar All working and in good condition
Metal Gear Solid legacy Collection,Both disc are Not scratched since never played but both play well with no issues
Need For Speed Underground 2 Gamecube,Some to minor scratches Tested and working Disc only Tags Nintendo sega Xbox PlayStation Wii gamecube snes nes n64 3ds
Atari Games,***I have not tested these in years**** Atari Games bundle Donkey Kong Jr Asteroids Indy 500 Porkys Basketball Epyx Winter Games Air Sea Battle Space Invaders Pac Man Combat Smurf Frogger Missle Command Defender
PS3 Fallout New Vegas,PS3 Fallout New Vegas has minor scratches works fine
Paper Mario 3DS!,Paper Mario Sticker Star (missing manual) for Nintendo 3DS!! Thanks! Free Shipping!
Final fantasy tactics a2 ds,No description yet
Ds Game Bundle For Buyer,For the person I had texted
For David,Conflict Desert Storm
Star Wars The Force Unleashed 2,"I am selling The Force Unleashed 2 for Xbox 360. This game has been played often, so the disk has a few scratches. (Seen in picture 3) However, it is still in good working condition. I recently played through the game in its current condition and no glitches, skips, freezing, or crashes were apparent. This offer includes the disk and a plastic fitting case."
Lot of 17 PlayStation 2 Games,"Discs only, lots of wear to each disc, but all have been tested and work great! Games include: Tekken God of War SSX 3 Final Fantasy Socom 3 Metal Gear Unreal Tournament Red Faction 2 (SOLD) Sonic Riders Splinter Cell"
Kirby nightmare in dream land game,Great condition only played a few times
Pokémon silver version game boy color,Pokémon silver version game boy color in good condition but selling as is
Ds lite. And free game,Choose one free game With free head phones and. The white ds lite
Hitman: The Complete First Season PS4,Hitman: The Complete First Season - Steelbook Edition - PlayStation 4 Factory Sealed The price is firm
Cartoon network speedway- gba cartridge,"Cart only, cart in great shape *Check out more games and consoles on my page. Available items are but not limited to : nes, snes, ps1, ps2, ps3, xbox, xbox 360, xbox one, wii, nintendo ds, 3ds, and more! *All are easy to find and organized into their own section, check back weekly for new sales and deals. *Ask about bundling to save money on shipping, otherwise prices are FIRM due to fees. Prices were not raised after sale fees applied. *I ship SAME OR NEXT DAY of purchase!!"
Destiny The Taken King PlayStation 4 PS4,"Brand New Factory Sealed. Includes Base game, Expansion 1 & 2 as well as the Taken King. Does not include The Destiny Rise of Iron however. Thank you for your interest."
Xbox 360 game demos,These are xbox 360 game demos my dad and i got these in the mail around 2009-2011 they all work and have no scratches they have demos of the game before they came out they were in a special magazine you had to be signed up for
Assassins Creed (Xbox 360),Good condition No manual Comes w/ original case Free shipping
PS3 Assassin's Creed Revelations,Saved for Alexander1798
Yugioh the falsebound kingdom GameCube,No booklet game included
Super mario chess board,In perfect condition!!! All chess pieces and the board is in perfect condition Brand new and only used a couple times
Reserved for Natasha Kara,"Marvel super heroes, scratched but looks like it still works , cheap because of scratches and hot wheels game"
Pokemon green version,"Brand new, flawless game for game boy, game boy advance. Tested and saves. Repro"
Nintendo 3DS XL,"Nintendo 3DS XL, metallic blue. My son used it for 5 months or so to play pokemon but lost interest so has been sitting at home for some time.b It comes with the power adapter and pokemon Y."
NFL STREET 3 (PS2),"Game is in good working condition, no issues. Will ship same or next business day. Have a great day everyone! ! !"
Nintendo NES 150 Games in 1!!!,No description yet
"Overwatch Orgins Edition, (Xbox One)","Authentic, new never opened original copy in factory wrapping guarantee. Any questions please contact me and I will respond quickly. Shipping is immediate upon receipt of payement. Fast, secure and hassle free transaction. Thanks and have a great day!!!"
CALL OF DUTY BLACK OPS 3 PLAYSTATION 4,CALL OF DUTY BLACK OPS 3 FOR PLAYSTATION 4 PS4 BRAND NEW SEALED
Ps4 lego batman 3 beyond gotham,In perfect working condition
Just dance Wii,Great condition. No scratches. Plays fine. In case. Bundle games for discount Free shipping on single games.
Mario games,Games great condition
Gamecube Mario Golf Toadstool Tour,Mario Golf gamecube game great condition not original case disc has been refurbished tested ready to be played
Vigilante 8 2nd Offense N64,"Tested and works perfectly! Check out my other video games, consoles and accessories! My store is color-coded: search RED for Nintendo!"
Sims 3 Wii Game,"Create Sims with unique personalities, fulfill their desires, and control their lives within a living neighborhood. Unlock all-new Karma Powers and unleash them on your Sims: help your Sim ""get lucky,"" bless them with “instant beauty” or curse them with an ""epic fail."" But use these powers wisely, because they may have unexpected results! Design and build your Sims’ dream home and share your creations with others. As you guide your Sims through life you can complete challenges to unlock additional items, town upgrades, and buildings upgrades. For the first time ever, upload and download content from your game, including furnishings, houses, Sims, and more!"
New nintendo 3ds XL,New nintendo 3ds xl has a few scratches on top but is in great shape. No games included
Two Games,Great games
Pokémon Sun 3DS,Played for a few hours one night. Haven't touched it since. Comes with game and original box.
Madden 17 PS4 Deluxe Edition.,Opened but brand new Retail Price is 80$ + tax PRICE FIRM
Spyro the Dragon PS1,Complete with booklet The front of the case does have a crack by the price tag that is hard to see in the photo Ps1/ps2 Please use photos to judge condition for yourself
Game Boy Advance Lot Star Wars Pac Man +,Set of 3 games for Nintendo Gameboy Advance Namco Pacman Star Wars II ( 2 ) The Original Trilogy Teenage Mutant Ninja Turtles ( TMNT ) Also included: 4 cases to hold games -- each holds 3 games
HOLD FOR SUPER RYAN Color Purple,"DO NOT BUY HOLD FOR SUPER RYAN This is one of the hardest to find gameboy color handhelds, the atomic purple, SEE TROUGH, system / console. Very cool looking and in good working condition. The games and system have been used and tested several times. This gameboy also comes with a fun and valuable pair of games: - Wario Land / Super Mario Land 3 (kind of two games combined) - Wario Land 2 ( II ) AND - An awesome looking The Legend of Zelda Phantom Hourglass Case for the Gameboy Color I will consider offers of separating the bundle. Comment below. FREE SHIPPING ***I have more Nintendo listings on my page***"
Disney Kinect game! Xbox360,Used but great condition The back of case is split open as shown above but disc perfectly fine I bundle Let me know if you have any questions! Tags: pc Microsoft Xbox one 360 PS4 PS3 psp ds 3ds game boy PlayStation plus Nintendo mac vintage skyrim gtaV gta5 gtaIV gta blood borne shadows of morrdor witcher 3 last guardian of us battlefield battle born black ops bioshock bio shock resident evil fallout 4 new vegas Oblivion
RBI baseball Ps4 (Free shipping),Never played. Like new
Destiny: The Taken King,"Destiny: The Taken King, Legendary Edition for PS4"
Pokémon y,Nintendo 3DS Pokemon Y complete in box works great
Call of duty Black ops 3,Call of duty Black ops 3
Wii / Wii U Just Dance 2014,Game was tested and is in great used condition.
In Very Good Condition Ps4 Games,Six different PS4 games in very good condition no cases for them
Super Mario Bros.U- Wii U,"Like new, used a couple times but the disc is in pristine condition. Check out my other listings for other Wii U games :)"
Cod infinity warfare,Good condition any question ask Check my review buy with confidence!
Mad Max Xbox One,No description yet
Titanfall,No description yet
Gameboy Advance Sp Bundle,"Black/silver 2 tone sp ags 101 and really great shape, minimal scratches and screen doesn't have a sratch on it. Comes with the 4 games no charger. Will be shipped with charge."
Zelda Majora's Mask box,N64 Nintendo 64 The Legend of Zelda Majora's Mask collector's edition box and user manual only *******no game******* is included price is firm no negotiations
Sims 3 Bundle,"World adventures and Generations, good condition!"
Jet Force Gemeni - N64,Cartridge only. Tested and working.
Pokémon heart gold with pokewalker,• two Pokémon heart of gold Nintendo games • one pokewalker (needs battery) •Currently the games are sold for 50 each without the pokéwalker. • Selling for [rm] •Free shipping
NINTENDO 3DS: LEGO STAR WARS VIDEO GAME,"GOOD CONDITION, PREVIOUSLY USED, THE FORCE AWAKENS IS A LEGO THEMED ACTION ADVENTURE VIDEO GAME DEVELOPED BY TT FUSION"
The Sims 2 University Expansion Pack PC,"This listing is for The Sims 2: University Expansion Pack for The Sims 2 PC. This game is in like-new condition, no visible scratches on the disks. It is COMPLETE and includes original box, jewel case, 2 disks, and manual. • Live the ultimate college fantasy • Your Sims have all-new wants and fears tied to their social and academic life • Choose from 11 majors for your Sims and keep their grades on track • Join a band, crash parties, find a part-time job, or cheat on your studies • The Sims 2 University is an expansion pack and requires The Sims 2 to play Check out my other listings for more Sims 2 Expansion Packs! Let me know if you have any questions."
The Last Guardian on PlayStation 4,"I am selling my entire Game collection, so please check back over the next month to see all the games I have listed. My collection is over 2000 games and systems so please check back. This listing is for a used original of The Last Guardian for PlayStation 4. You will get exactly what you see in the pictures. The game disc has little to no scratches. The case has little to no scratches and scuffs. It comes with the case, manual, and cover art. The game works without any issues. Assume that any DLC codes have been used. Generally speaking if you are buying multiple items I will take off [rm] for each extra item that you purchase."
COD WORLD AT WAR,Xbox 360. Don't have box but will ship it in another one. EVERYTHING ON MY PAGE MUST GO IN THE NEXT DAY!
Pokémon Fire Red,works great cleaned and tested
PS4 Doom,"PS4 doom, played once bought from game stop so it's guaranteed to work"
MYSTERY BOX for TECHIES! Take a shot!,"Take a chance at an awesome package! There are many different items available, and you are guaranteed to receive an item on the list. *WII U 32GB DELUXE MARIO SET *TITANFALL 2 (PS4) *RAINBOW SIX SIEGE (PS4) *SKYRIM REMASTERED (PS4) *FINAL FANTASY XV (XB1) *DEAD RISING 4 (XB1) *TEMPERED GLASS PHONE SCREEN PROTECTORS *[rm] OUTBACK STEAKHOUSE GIFT CARD *LIMITED & NUMBERED NES ART PRINT *POP! STAR WARS EXCLUSIVE FIGURE NEW IN BOX *COLLECTOR'S EDITION BOTTLE OF NUKA COLA QUANTUM *MOBILE VR HEADSET *HARRY'S RAZOR DELUXE GIFT SET *ASSORTED LOOSE STAR WARS ACTION FIGURES (pre 1999) *STAR WARS RETRO T-SHIRT IN COLLECTOR'S TIN ...PLUS MANY OTHER ITEMS TO.BE ADDED TO THE POOL. ITEMS ARE ALL ON-HAND & WILL BE SHIPPED WITHIN 1-2 DAYS. **If you do receive an item that you don't particularly care for, please don't leave a negative feedback. This is a ""MYSTERY"" box and not every prize is the same caliber to every individual. TAKE A CHANCE AND HAVE FUN. PERHAPS YOU WILL GET A GREAT PACKAGE"
Black Ops 3 Sweatshirt Youth Small,Nice and warm bought it custom made for [rm] size Youth Small
Play station lot of games,"Not separating these, sorry. Only selling as a lot"
Wipeout 3 Wii U game,Free shipping Like new condition Fun game!
Gaming book,"Game on! 2016 by gamers for gamers book. Brother grew up and doesn’t read them anymore so they sit on a shelf. Retails for [rm] --------------------------------------------------- ❌NO FREE SHIPPING! ( Unless stated ) ❌NO TRADES! ❌DONT ASK MY LOWEST! Give me an offer instead. An if I have free shipping on the item I will not lower. --------------------------------------------------- ✅BUNDLE! Save money on shipping by bundling!Just comment on every item you want and I'll give you the price! ✅REQUEST HOLDS! I will hold an item for up to three days! If not bought in three days, I'll try contacting you otherwise it's up for grabs again. ✅READ MY STORES BIO! Please read the bio of my store. --------------------------------------------------- Thank you for reading this all if you do!❤️ -Gabriella✨"
Super Mario 64 Nintendo 64 n64,Super Mario 64 Nintendo 64 n64 Works great Shows so sun fading on label
Nba 2k16 Xbox 360,"Great deal! No Scratches, Works Perfectly, Has warranty from Gamestop through 2020 *see fourth picture, If it stops working at any point take it to any Gamestop and they will replace the game, Just show them the warranty lable"
Gundam Breaker 3 JP Version,Everything is in Japanese but it is a amazing game
Xbox 360 Lego Harry Potter,Years 1-4
Zumba Wii strap.,Zumba single strip.
Doom for the Microsoft Xbox One,"Doom for the Microsoft Xbox One Video Game Console Disk, Case and Inserts in Perfect Condition. No scratches, smudges, marks, etc. Codes for the UAC Controller Skin and Demon Multiplayer Pack are unknown to work. Rated M for Mature"
New Super Mario Bros. DS,"Tested and working! Check out my other video games, consoles and accessories! My store is color-coded: search RED for Nintendo!"
Game Cube Mario Kart Double dash,"Combine listings to save on shipping. To answer question, it worked last time i tried it years ago. No longer have game cube anymore so selling the games"
The Last Guardian,I'm selling The Last Guardian for PS4 used works 100% (White Label in the middle is a anti-crack sticker so it won't crack) Will not effect the game NO CASE JUST GAME DISC FOR SALE! No deals Shipping fee is for your convenience!
RockBand Wii Dongles,"comes with 2. the one on the left is for guitars and the one on the right is for drums. i don't have the rockband game, these just came with a wii that i bought recently. they look new. bundle with my other items and save!"
Legend of Zelda Ocarina of Time N64,No description yet
Paper mario,Missing manual only. Box and cart are in excellent shape..inserts inlcuded. --PRICE firm...shipping included
Super Nintendo Games,Super Mario world and donkey kong country
DS Games,Don't want them anymore
Skylanders PS3 Set/ Aero Tote,Preowned Skylanders PS3 set in good condition. Aero Tote in good condition. Bundle being sold as is
New Super Mario Bros Nintendo DS,Title says it all. Great game and works well!
Ghost Recon WildLands,Basically new played once
Portal 2 xbox 360,No case Used a few times Great condition
Super Mario bros Nintendo,"35 for all or 13 each . Super Mario 1,2,3 and super Mario one /duck hunt"
••Free Shipping•• GTA 5,For PS4. Works great! Includes the map as well!
Road Rash 64,Nintendo 64 Game
Red Dead Redemption PS3,No description yet
No Man's Sky - PS4,"No Man's Sky for PlayStation 4. Awesome game, I love it I just don't have the time to play it as much as I'd like to. Still in perfect condition, only played twice."
Xbox one lego dimensions starter pack,lego dimensions starter pack for xbox one
reserved for Dluv's,Very good condition
Guitar Hero Xbox 360 wireless Guitar,Red Octane Wireless Guitar Hero Controller for the Xbox 360 system.. Quick disconnect neck and whammy bar .. in very nice clean condition ..
Marvel VS Ultimate Capcom 3 PS4 HOLD FOR,Clean disc in the original case with booklet.
Switch (Bonus: Zelda),"Switch (Bonus: Zelda) - comes with all original pieces (switch console, left and right joycons, two joycon wrist wraps, charger dock, grip controller, AC adapter power cable, and HDMI cord) - will throw in Zelda as a bonus - great condition - Purchased the first night it came out - great console but I have no time to play it. Feel free to ask questions and debate pricing! :) COMES WITH ORIGINAL BOX (unfortunately does not come with manuals)"
Super mario world 2 Yoshis island sfc,Plays on retron consoles and super Famicom console. Plays on modded super Nintendo consoles as well
Playstation 2 Cabela's Dangerous Hunts,Playstation 2 Game Cabela's Dangerous Hunts FREE SHIPPING!
ON HOLD Shadow of Mordor Xbox One,Unopened / still sealed Shadow of Mordor for Xbox One. I bought this game and a couple of days later I moved in with my new roommates and he had it so I had no reason to play this one or open it from it's packaging. I tired to get the best angles to show it's unopened but I promise it is!
Selling mario kart 8 price firm,Complete with book. Plays instantly and good my price is firm serious buyers only thank you
Wario Ware Smooth Moves Wii,"Lightly used. Adult owned. Contains: game, case, instruction manual and game registration manual. Will be shipped in a bubble wrapped envelope."
Final Fight 3 SNES **Last One!!,"Final Fight 3 RetroZone Re-Release tested/working Cartridge Only (no case) Aftermarket release (licensed by RetroZone) and playable on an SNES console (also works on most 3rd party consoles- such as the Retro Duo, Trio"
Super Mario bra DS and Mario Kart 7,Bundle. Shipping today
Zelda Windwaker GameCube,"Tested and working! Shipped in generic case for safety. Check out my other video games, consoles and accessories! My store is color-coded: search RED for Nintendo!"
Nintendo DS with games,"Pink Nintendo DS with 4 children's games and stylus pen that inserts into DS. Works good. Includes charger. *Games include: Littlest pet shop, The little Mermaid, Squinkies2, and Purr pals."
Price is Right Wii game,Perfect condition [rm] - if interested in purchasing all Wii games for [rm] message me and I'll adjust the price!
The Legend of Zelda Twilight Princess,Very good condition zelda game for gamecube. Tested!! See pics.
Xbox halo2,Up for sell is a pre-owned HALO 2 METAL limited COLLECTOR'S EDITION in good playing condition with normal wear and tear of a used item.
2010 FIFA world Cup- ps3 disc/case,"Disc with case, disc in great shape Other games for sale on my page, check it out weekly for new deals!"
Populous SNES,Game has been tested and works great! Price is firm but if you buy multiple items I can combine shipping to save you money.
Chip 'N Dale Rescue Rangers NES,Clean and works
Final Fantasy XIII Xbox 360 Game,100 % original Item has been used / works excellent Comes as seen in pictures * Serious Buyers Only * * CHECK OUT ALL THE OTHER ITEMS I HAVE FOR SALE
MARVEL VS CAPCOM 2 PS2,Disc only Tested and works Light surface scratching
Nintendo 64 Starfox Game Tested,Full working condition Cartridge only
Mariokart Nintendo DS,Game plays with no issues and is in great shape. Comes with the case.
Titanfall 2 PS4 PLAYED TWICE FREE SHIP,I played it twice and just didn't really like it that much. We ship every day but Sunday.
PS4 Overwatch game,Basically new and only played once
Mario Bros for Atari 2600,"I am selling my entire Game collection, so please check back over the next month to see all the games I have listed. My collection is over 2000 games and systems so please check back. This listing is for a used original of Mario Bros for Atari 2600. You will get exactly what you see in the pictures. The game cartridge may have some minor scratches, indents, wear, or slight fading. There may be dirt/dust in crevasses and edges of the cartridge. Please check pictures for exact condition and ask if you are unsure. The game works without any issues. Assume that any DLC codes have been used. Generally speaking if you are buying multiple items I will take off [rm] for each extra item that you purchase. I do not do discounts for purchases under [rm]."
.hack Reserved for John Keefer Jr.,Third .hack game. Comes with anime DVD Liminality Part 3.
Pokken Tournament Nintendo WiiU,"Brand new factory sealed This site charge 10% selling fee, so price is firm. Please don't ask Thank you for looking"
Goldeneye 007 Nintendo 64,Up for sale is a cleaned and tested copy of Goldeneye for the Nintendo 64. No issues Please check out my other listings to bundle and save!!!!!
PS4 Battlefield 1 **hold for lena**,"PS4 Battlefield 1 early enlisters edition factory sealed, brand new. Free ship and no tax!!"
Star Fox Adventures,Star Fox Adventures Nintendo GameCube Works excellent price is firm no negotiations
Pokémon platinum,Nintendo DS Pokemon Platinum case and game missing manual works great
Kane and lynch dead men Xbox 360,"Good condition. I have more blurays and VIDEOGAMES (Xbox.playstation,sega,Nintendo games) listed for sale! Check them out! To see what else I have for sale click on my name or my picture! It will bring up what I have for sale! *ships within 1-3 business days *usps tracking included"
Brave Fencer Musashi (PS1),Game CASE is broken and no game manual. CD does have few scratches but Game works PERFECTLY fine! Comes with FF-VIII Demo
Nintendo Dogs DS/DSI combo,2 Nintendo dogs combo lab and friends and chihuahua
Xbox 360 - Batman Arkham City game,"Only played a few times, is in perfect condition! (The only flaw is my name my brother wrote down sorry about that)"
N64 Lot Nintendo 64 Bundle Mario,All in great Condition and working. Will not seperate
Wii U Super Mario 3D World Mint Conditio,Disc is in mint condition with zero scratches anywhere. Comes as shown in the pictures. Price is firm.
Tarot cards + book,"All 78 cards & a book explaining the meanings, different layouts,& the history behind tarot"
Super Castlevania IV SNES,Game has been tested and works great! Price is firm but if you buy multiple items I can combine shipping to save you money. Small nick on top of the label.
Wii guitar hero legend of rock,This is in excellent condition with no flaws or defects of any kind or scratches
Spongebob Squarepants battle for...,Spongebob Squarepants battle for bikini bottom
Assassins Creed: Syndicate,No description yet
Game boy advanced sp,"Great condition, turns on and is fully charged. Comes with wild Thornberries game and a black case ***does not have charger with it"
POKEMON X & ALPHA SAPPHIRE (3DS),"Games are in excellent condition, no issues. Play on Nintendo 2DS & 3DS :) Price is Firm, No Negotiations. Will ship same or next business day."
Super Mario Bros & Donkey Kong country,2 gameboy games Super Mario Bros Deluxe Donkey Kong country Excellent condition Both work great
Petz and LPS Games ON HOLD,"On hold, please do not buy. Both games 100% functional, game cartridges only."
5 wii controller,5 controllers And a wii base
Junior edition jeopardy CIB nes,Junior edition jeopardy for the original nintendo. This is practically brand new. Has every insert. Tested and works great. Feel free to ask any questions. Additional games available upon request. Just inquire and thanks south for looking. Also included is dr Mario CIB for nes
Free ship* Hitman ps3 game,Hitman Original PlayStation game No manual Game cleaned and tested Ships in bubble wrap next day when available
Mario Kart Double Dash,Some scratches but works. Come with case but no booklet.
PS3 Game Grand Theft Auto✨,Grand Theft Auto‼️
PSP+ 2 games,"2 games included: God of War: chains of Olympus Kingdom Hearts birth by sleep Great condition only used a few times comes with charger, instruction manial, and AC adapter Not positive which version it is (1000?/3000? Not sure)"
Halo 5,"It's in great condition, there's barely any scratches on the back."
Xbox 360 resident evil 6,Xbox 360 resident evil 6 game disc and installation disk
Yoshis island ds game,Works great! Fast shipping with tracking
PlayStation,In good used condition. Works great. Comes with 1 controller and cords in pic.
Siren PS2,"Game has the disc and case/reprint cover art It has been resurfaced and looks great. Any questions or offers? Feel free to leave a comment. Will do bundles to save on shipping. Buy with confidence, over 700 positive feedback on other selling sites. Repeat buyers get special discounts, just leave a comment before you buy."
NBA STREET 2 (PS2),"Game is in excellent condition, no issues. Price is Firm, No Negotiations. Will ship same or next business day."
Brand new Tom Clancy's Ghost Recon Xbox,Early release ready to ship
Brain Age 2,Nintendo DSI Game
Mario kart double dash,No description yet
Harry Potter PlayStation games,No description yet
Pokemon Emerald Version,The game plays and saves as intended.
Gameboy color,Plays games just fine. Battery cover is gone and I order to her the game you will need head phones because speaker is bad.
CALL OF DUTY 3 WII,hardly played :) ******Please be patient. Keep in mind I have absolutely no control over the post office. ***** Tags: choker stretch necklace black retro henna vintage elastic necklace 2016 fashion jewelry women girls septum clip hoop jewelry gift lipstick matte lip gloss makeup funny face kimoji cases for iPhone 5 5s se 5c 6 6s 6 plus 6splus 4 4s clear face suction black mask facial mask nose blackhead remover peeling peel off black head acne treatments vs pink Kylie hunting camping eyebrow pencil cleaner survival speakers LED floating charms Nike jordans vs pink adidas windbreaker socks Calvin Klein Tommy Hilfiger Nintendo selects gaming gamer games wii Xbox PS4
Old Vintage Gameboy Games Bundle,Make me an offer and we'll work from there. It doesn't have to be bundled
Flat Out Sony PlayStation 2 PS2,"TRACK YOUR PACKAGE We usually ship within 2 days of purchase. You will receive a tracking # as soon as we ship. ALL ITEMS AVAILABLE **All are items are available for purchase, if it's listed , we have it! SAVE ON SHIPPING **Save on shipping ! We will bundle items for you, just let us know what you want :) The more you buy the bigger discount I can give on the items that I ship together. CHECK OUT ALL OUR COOL ITEMS! We carry xbox original xbox 360 - Playstation 1 - playstation 2 - playstation 3 - Nintendo - Wii - Gamecube - Gameboy - nes - snes-Nintendo 64 - n64 -sega"
call of duty for ps4,Literally never played the game just opened to see if it was the legacy one which it isnt. I paid [rm] so the lowest ill go is 40.
"Contra, battle toads, mega man x",All in good condition
Infamous ps3,Perfect condition and complete
Zelda the Windwaker Nintendo GameCube,Perfect working order!
NES Mickey Mousecapade and Batman,No description yet
Gamecube zelda collectors edition,Nintendo gamecube zelda collectors edition works good has light scratches to no scratches loads and plays fine
Odin Sphere Leifthrasir - PS VITA,Game like new with box.
Call of Duty Ghosts Xbox One,"Great Condition, other PS4 and Xbox One Games for sale. Check out my other listings to Bundle up and save on shipping!"
NES Super Mario Bros and Duck Hunt,Cart only tested plays great
Digimon World 4,For game cube Custom artwork No manual Light scratches But works great
Black ops 3,Works great !
The Elder Scrolls V: Skyrim For PC NEW,"Brand New Sealed TRACK YOUR PACKAGE We usually ship within 2 days of purchase. You will receive a tracking # as soon as we ship. ALL ITEMS AVAILABLE **All are items are available for purchase, if it's listed , we have it! SAVE ON SHIPPING **Save on shipping ! We will bundle items for you, just let us know what you want :) The more you buy the bigger discount I can give on the items that I ship together. CHECK OUT ALL OUR COOL ITEMS! We carry xbox original xbox 360 - Playstation 1 - playstation 2 - playstation 3 - Nintendo - Wii - Gamecube - Gameboy - nes - snes-Nintendo 64 - n64 -sega"
Pokemon xd gale of darkness,"New , still sealed small knicks in plastic, indent on back. Refer to pics"
Psp game bundle,No description yet
Pokémon Nintendo DS Game,"Not actual Pokémon game, more like a spinoff/mini game"
Battlefield 1 PS4 BF1 Playstation 4 four,No scratches just don't play anymore.
11 Atari games,All tested and working. In great shape!
Nintendo 3DS Games,SOLD!
Nintendo GameCube: Luigi's Mansion,Game comes complete in box with all of its original paperwork. It has been tested and played and it is in excellent working condition. Disc does have minimal scratches(see picture) but it does not affect gameplay.
Gran Turismo 6 (PS3),"Hello to you! I present to you, Gran Turismo 6. An excellent, excellent game. Graphically the game is amazing and the cars handle like the actual cars (not that I have driven a Lamborghini or anything). Oh one more thing: the tractor is not included:-) Thanks for considering."
Xbox one games,Far cry 4- [rm] (case damaged) AC Syndicate- [rm] Dead Rising 3- SOLD COD Advanced Warfare- SOLD OR Lot for [rm]
PlayStation 3 Lego Indiana Jones,Game
